,,
t,x,y
15.645,9.19E-02,-1.81E-01
15.679,9.19E-02,-1.81E-01
15.712,9.18E-02,-1.80E-01
15.745,9.20E-02,-1.80E-01
15.779,9.19E-02,-1.80E-01
15.812,9.21E-02,-1.79E-01
15.846,9.24E-02,-1.79E-01
15.879,9.27E-02,-1.79E-01
15.912,9.28E-02,-1.79E-01
15.946,9.30E-02,-1.80E-01
15.979,9.32E-02,-1.79E-01
16.012,9.32E-02,-1.79E-01
16.046,9.32E-02,-1.79E-01
16.079,9.33E-02,-1.79E-01
16.112,9.34E-02,-1.79E-01
16.146,9.34E-02,-1.78E-01
16.179,9.36E-02,-1.78E-01
16.213,9.39E-02,-1.78E-01
16.246,9.42E-02,-1.78E-01
16.279,9.44E-02,-1.77E-01
16.313,9.45E-02,-1.76E-01
16.346,9.43E-02,-1.76E-01
16.379,9.43E-02,-1.76E-01
16.413,9.39E-02,-1.75E-01
16.446,9.37E-02,-1.75E-01
16.479,9.32E-02,-1.75E-01
16.513,9.26E-02,-1.74E-01
16.546,9.20E-02,-1.74E-01
16.579,9.13E-02,-1.74E-01
16.613,9.06E-02,-1.74E-01
16.646,8.97E-02,-1.74E-01
16.68,8.88E-02,-1.74E-01
16.713,8.81E-02,-1.74E-01
16.746,8.74E-02,-1.74E-01
16.78,8.68E-02,-1.75E-01
16.813,8.64E-02,-1.74E-01
16.846,8.60E-02,-1.75E-01
16.88,8.58E-02,-1.74E-01
16.913,8.55E-02,-1.74E-01
16.946,8.56E-02,-1.74E-01
16.98,8.53E-02,-1.73E-01
17.013,8.53E-02,-1.73E-01
17.046,8.52E-02,-1.72E-01
17.08,8.57E-02,-1.72E-01
17.113,8.58E-02,-1.71E-01
17.147,8.59E-02,-1.71E-01
17.18,8.58E-02,-1.70E-01
17.213,8.57E-02,-1.69E-01
17.247,8.55E-02,-1.69E-01
17.28,8.52E-02,-1.68E-01
17.313,8.48E-02,-1.68E-01
17.347,8.44E-02,-1.67E-01
17.38,8.40E-02,-1.66E-01
17.413,8.34E-02,-1.66E-01
17.447,8.29E-02,-1.65E-01
17.48,8.25E-02,-1.65E-01
17.514,8.20E-02,-1.64E-01
17.547,8.14E-02,-1.63E-01
17.58,8.09E-02,-1.62E-01
17.614,8.03E-02,-1.62E-01
17.647,7.98E-02,-1.61E-01
17.68,7.94E-02,-1.61E-01
17.714,7.88E-02,-1.60E-01
17.747,7.86E-02,-1.60E-01
17.78,7.79E-02,-1.60E-01
17.814,7.76E-02,-1.59E-01
17.847,7.66E-02,-1.59E-01
17.88,7.61E-02,-1.59E-01
17.914,7.55E-02,-1.59E-01
17.947,7.49E-02,-1.59E-01
17.981,7.42E-02,-1.59E-01
18.014,7.34E-02,-1.59E-01
18.047,7.25E-02,-1.59E-01
18.081,7.18E-02,-1.59E-01
18.114,7.10E-02,-1.59E-01
18.147,6.98E-02,-1.58E-01
18.181,6.93E-02,-1.58E-01
18.214,6.82E-02,-1.58E-01
18.247,6.74E-02,-1.57E-01
18.281,6.67E-02,-1.57E-01
18.314,6.62E-02,-1.56E-01
18.347,6.57E-02,-1.55E-01
18.381,6.52E-02,-1.54E-01
18.414,6.43E-02,-1.53E-01
18.448,6.39E-02,-1.52E-01
18.481,6.29E-02,-1.52E-01
18.514,6.25E-02,-1.51E-01
18.548,6.20E-02,-1.50E-01
18.581,6.14E-02,-1.49E-01
18.614,6.08E-02,-1.49E-01
18.648,6.00E-02,-1.48E-01
18.681,5.93E-02,-1.48E-01
18.714,5.84E-02,-1.47E-01
18.748,5.77E-02,-1.47E-01
18.781,5.66E-02,-1.47E-01
18.815,5.59E-02,-1.46E-01
18.848,5.49E-02,-1.46E-01
18.881,5.43E-02,-1.46E-01
18.915,5.34E-02,-1.45E-01
18.948,5.25E-02,-1.45E-01
18.981,5.15E-02,-1.45E-01
19.015,5.06E-02,-1.44E-01
19.048,4.94E-02,-1.44E-01
19.081,4.82E-02,-1.44E-01
19.115,4.72E-02,-1.43E-01
19.148,4.63E-02,-1.43E-01
19.181,4.51E-02,-1.43E-01
19.215,4.40E-02,-1.43E-01
19.248,4.29E-02,-1.43E-01
19.282,4.18E-02,-1.42E-01
19.315,4.06E-02,-1.42E-01
19.348,3.93E-02,-1.42E-01
19.382,3.81E-02,-1.43E-01
19.415,3.70E-02,-1.43E-01
19.448,3.59E-02,-1.43E-01
19.482,3.48E-02,-1.43E-01
19.515,3.39E-02,-1.43E-01
19.548,3.28E-02,-1.43E-01
19.582,3.18E-02,-1.43E-01
19.615,3.09E-02,-1.42E-01
19.648,2.99E-02,-1.42E-01
19.682,2.89E-02,-1.42E-01
19.715,2.81E-02,-1.42E-01
19.749,2.74E-02,-1.41E-01
19.782,2.66E-02,-1.41E-01
19.815,2.59E-02,-1.40E-01
19.849,2.49E-02,-1.40E-01
19.882,2.40E-02,-1.39E-01
19.915,2.30E-02,-1.39E-01
19.949,2.19E-02,-1.38E-01
19.982,2.07E-02,-1.38E-01
20.015,1.96E-02,-1.38E-01
20.049,1.85E-02,-1.37E-01
20.082,1.74E-02,-1.37E-01
20.116,1.62E-02,-1.37E-01
20.149,1.48E-02,-1.37E-01
20.182,1.36E-02,-1.38E-01
20.216,1.20E-02,-1.38E-01
20.249,1.06E-02,-1.38E-01
20.282,9.16E-03,-1.39E-01
20.316,7.96E-03,-1.39E-01
20.349,6.67E-03,-1.39E-01
20.382,5.50E-03,-1.40E-01
20.416,4.23E-03,-1.40E-01
20.449,3.13E-03,-1.40E-01
20.482,1.91E-03,-1.41E-01
20.516,8.74E-04,-1.41E-01
20.549,-4.58E-04,-1.41E-01
20.583,-1.48E-03,-1.41E-01
20.616,-2.29E-03,-1.42E-01
20.649,-3.38E-03,-1.42E-01
20.683,-4.03E-03,-1.42E-01
20.716,-4.72E-03,-1.42E-01
20.749,-5.88E-03,-1.42E-01
20.783,-6.68E-03,-1.43E-01
20.816,-7.84E-03,-1.43E-01
20.849,-8.76E-03,-1.43E-01
20.883,-9.85E-03,-1.44E-01
20.916,-1.10E-02,-1.44E-01
20.949,-1.19E-02,-1.45E-01
20.983,-1.31E-02,-1.45E-01
21.016,-1.41E-02,-1.45E-01
21.05,-1.55E-02,-1.46E-01
21.083,-1.68E-02,-1.46E-01
21.116,-1.82E-02,-1.46E-01
21.15,-1.95E-02,-1.46E-01
21.183,-2.07E-02,-1.47E-01
21.216,-2.21E-02,-1.47E-01
21.25,-2.33E-02,-1.47E-01
21.283,-2.45E-02,-1.47E-01
21.316,-2.57E-02,-1.47E-01
21.35,-2.70E-02,-1.48E-01
21.383,-2.82E-02,-1.48E-01
21.417,-2.94E-02,-1.49E-01
21.45,-3.05E-02,-1.49E-01
21.483,-3.15E-02,-1.50E-01
21.517,-3.22E-02,-1.51E-01
21.55,-3.31E-02,-1.51E-01
21.583,-3.38E-02,-1.52E-01
21.617,-3.44E-02,-1.53E-01
21.65,-3.52E-02,-1.54E-01
21.683,-3.59E-02,-1.55E-01
21.717,-3.66E-02,-1.56E-01
21.75,-3.74E-02,-1.56E-01
21.783,-3.82E-02,-1.57E-01
21.817,-3.88E-02,-1.58E-01
21.85,-3.95E-02,-1.58E-01
21.884,-4.05E-02,-1.59E-01
21.917,-4.14E-02,-1.60E-01
21.95,-4.23E-02,-1.61E-01
21.984,-4.33E-02,-1.61E-01
22.017,-4.42E-02,-1.62E-01
22.05,-4.52E-02,-1.63E-01
22.084,-4.61E-02,-1.63E-01
22.117,-4.70E-02,-1.64E-01
22.15,-4.77E-02,-1.65E-01
22.184,-4.85E-02,-1.65E-01
22.217,-4.93E-02,-1.66E-01
22.25,-5.01E-02,-1.67E-01
22.284,-5.09E-02,-1.67E-01
22.317,-5.14E-02,-1.68E-01
22.351,-5.20E-02,-1.69E-01
22.384,-5.26E-02,-1.70E-01
22.417,-5.32E-02,-1.70E-01
22.451,-5.38E-02,-1.71E-01
22.484,-5.44E-02,-1.71E-01
22.517,-5.50E-02,-1.72E-01
22.551,-5.58E-02,-1.73E-01
22.584,-5.65E-02,-1.73E-01
22.617,-5.72E-02,-1.74E-01
22.651,-5.81E-02,-1.74E-01
22.684,-5.89E-02,-1.75E-01
22.718,-5.96E-02,-1.76E-01
22.751,-6.02E-02,-1.76E-01
22.784,-6.09E-02,-1.77E-01
22.818,-6.15E-02,-1.78E-01
22.851,-6.22E-02,-1.79E-01
22.884,-6.26E-02,-1.80E-01
22.918,-6.32E-02,-1.81E-01
22.951,-6.37E-02,-1.82E-01
22.984,-6.38E-02,-1.83E-01
23.018,-6.42E-02,-1.84E-01
23.051,-6.42E-02,-1.85E-01
23.084,-6.69E-02,-1.82E-01
23.118,-6.71E-02,-1.83E-01
23.151,-6.74E-02,-1.84E-01
23.185,-6.76E-02,-1.85E-01
