,,
t,x,y
1.001,-7.27E-02,-0.254
1.034,-7.27E-02,-0.254
1.067,-7.26E-02,-0.254
1.101,-7.26E-02,-0.254
1.134,-7.26E-02,-0.254
1.168,-7.23E-02,-0.255
1.201,-7.22E-02,-0.255
1.234,-7.21E-02,-0.255
1.268,-7.18E-02,-0.255
1.301,-7.18E-02,-0.255
1.334,-7.19E-02,-0.256
1.368,-7.18E-02,-0.256
1.401,-7.18E-02,-0.256
1.434,-7.14E-02,-0.256
1.468,-7.13E-02,-0.256
1.501,-7.13E-02,-0.256
1.534,-7.09E-02,-0.257
1.568,-7.08E-02,-0.257
1.601,-7.07E-02,-0.257
1.635,-7.07E-02,-0.257
1.668,-7.07E-02,-0.257
1.701,-7.04E-02,-0.257
1.735,-7.03E-02,-0.258
1.768,-6.99E-02,-0.258
1.801,-6.96E-02,-0.258
1.835,-6.91E-02,-0.259
1.868,-6.86E-02,-0.259
1.901,-6.84E-02,-0.26
1.935,-6.78E-02,-0.26
1.968,-6.77E-02,-0.26
2.001,-6.71E-02,-0.261
2.035,-6.65E-02,-0.261
2.068,-6.58E-02,-0.262
2.102,-6.55E-02,-0.262
2.135,-6.47E-02,-0.262
2.168,-6.40E-02,-0.263
2.202,-6.33E-02,-0.263
2.235,-6.30E-02,-0.264
2.268,-6.24E-02,-0.264
2.302,-6.21E-02,-0.264
2.335,-6.16E-02,-0.265
2.368,-6.09E-02,-0.265
2.402,-6.03E-02,-0.266
2.435,-6.01E-02,-0.266
2.468,-5.96E-02,-0.267
2.502,-5.91E-02,-0.267
2.535,-5.85E-02,-0.268
2.569,-5.84E-02,-0.268
2.602,-5.78E-02,-0.269
2.635,-5.71E-02,-0.269
2.669,-5.70E-02,-0.269
2.702,-5.62E-02,-0.27
2.735,-5.53E-02,-0.271
2.769,-5.43E-02,-0.271
2.802,-5.33E-02,-0.272
2.835,-5.25E-02,-0.272
2.869,-5.17E-02,-0.273
2.902,-5.09E-02,-0.273
2.935,-5.02E-02,-0.274
2.969,-4.93E-02,-0.274
3.002,-4.83E-02,-0.275
3.036,-4.73E-02,-0.276
3.069,-4.62E-02,-0.276
3.102,-4.51E-02,-0.277
3.136,-4.41E-02,-0.277
3.169,-4.33E-02,-0.278
3.202,-4.26E-02,-0.278
3.236,-4.19E-02,-0.279
3.269,-4.10E-02,-0.279
3.302,-4.01E-02,-0.28
3.336,-3.91E-02,-0.28
3.369,-3.80E-02,-0.281
3.402,-3.69E-02,-0.281
3.436,-3.59E-02,-0.282
3.469,-3.49E-02,-0.282
3.503,-3.41E-02,-0.282
3.536,-3.31E-02,-0.283
3.569,-3.22E-02,-0.283
3.603,-3.11E-02,-0.283
3.636,-2.99E-02,-0.284
3.669,-2.86E-02,-0.284
3.703,-2.72E-02,-0.285
3.736,-2.60E-02,-0.285
3.769,-2.49E-02,-0.286
3.803,-2.36E-02,-0.286
3.836,-2.24E-02,-0.287
3.869,-2.13E-02,-0.287
3.903,-1.69E-02,-0.287
3.936,-1.52E-02,-0.288
3.97,-1.44E-02,-0.288
4.003,-1.23E-02,-0.288
4.036,-1.16E-02,-0.289
4.07,-9.31E-03,-0.289
4.103,-8.44E-03,-0.289
4.136,-7.30E-03,-0.289
4.17,-6.26E-03,-0.289
4.203,-5.03E-03,-0.289
4.236,-3.67E-03,-0.289
4.27,-2.30E-03,-0.289
4.303,-9.69E-04,-0.289
4.337,5.81E-04,-0.289
4.37,1.94E-03,-0.289
4.403,3.23E-03,-0.289
4.437,4.55E-03,-0.289
4.47,5.86E-03,-0.289
4.503,7.16E-03,-0.289
4.537,8.72E-03,-0.289
4.57,1.02E-02,-0.289
4.603,1.17E-02,-0.289
4.637,1.32E-02,-0.289
4.67,1.46E-02,-0.289
4.703,1.67E-02,-0.289
4.737,1.82E-02,-0.288
4.77,1.95E-02,-0.288
4.804,2.14E-02,-0.288
4.837,2.27E-02,-0.288
4.87,2.48E-02,-0.287
4.904,2.67E-02,-0.287
4.937,2.79E-02,-0.286
4.97,2.97E-02,-0.286
5.004,3.15E-02,-0.285
5.037,3.32E-02,-0.285
5.07,3.42E-02,-0.285
5.104,3.58E-02,-0.284
5.137,3.75E-02,-0.284
5.17,3.91E-02,-0.283
5.204,4.07E-02,-0.282
5.237,4.24E-02,-0.282
5.271,4.39E-02,-0.281
5.304,4.55E-02,-0.28
5.337,4.69E-02,-0.28
5.371,4.84E-02,-0.279
5.404,4.97E-02,-0.279
5.437,5.12E-02,-0.278
5.471,5.25E-02,-0.277
5.504,5.38E-02,-0.277
5.537,5.56E-02,-0.276
5.571,5.66E-02,-0.275
5.604,5.84E-02,-0.274
5.637,5.95E-02,-0.273
5.671,6.12E-02,-0.272
5.704,6.27E-02,-0.27
5.738,6.42E-02,-0.269
5.771,6.56E-02,-0.268
5.804,6.71E-02,-0.267
5.838,6.85E-02,-0.266
5.871,6.99E-02,-0.264
