t,x,y
9.04,8.12E-02,6.64E-02
9.074,8.11E-02,6.64E-02
9.107,8.11E-02,6.63E-02
9.141,8.10E-02,6.63E-02
9.174,8.10E-02,6.62E-02
9.207,8.10E-02,6.63E-02
9.241,8.11E-02,6.63E-02
9.274,8.07E-02,6.70E-02
9.307,8.05E-02,6.71E-02
9.341,8.01E-02,6.77E-02
9.374,7.99E-02,6.78E-02
9.407,7.95E-02,6.84E-02
9.441,7.94E-02,6.85E-02
9.474,7.93E-02,6.85E-02
9.508,7.88E-02,6.90E-02
9.541,7.87E-02,6.91E-02
9.574,7.82E-02,6.96E-02
9.608,7.76E-02,7.02E-02
9.641,7.74E-02,7.04E-02
9.674,7.69E-02,7.10E-02
9.708,7.68E-02,7.11E-02
9.741,7.63E-02,7.16E-02
9.774,7.62E-02,7.16E-02
9.808,7.58E-02,7.22E-02
9.841,7.57E-02,7.23E-02
9.874,7.56E-02,7.24E-02
9.908,7.52E-02,7.30E-02
9.941,7.47E-02,7.36E-02
9.975,7.46E-02,7.39E-02
10.008,7.41E-02,7.44E-02
10.041,7.37E-02,7.46E-02
10.075,7.36E-02,7.52E-02
10.108,7.31E-02,7.54E-02
10.141,7.27E-02,7.60E-02
10.175,7.21E-02,7.67E-02
10.208,7.15E-02,7.73E-02
10.241,7.09E-02,7.80E-02
10.275,7.04E-02,7.85E-02
10.308,6.97E-02,7.90E-02
10.341,6.89E-02,7.94E-02
10.375,6.81E-02,8.03E-02
10.408,6.73E-02,8.07E-02
10.442,6.68E-02,8.12E-02
10.475,6.59E-02,8.16E-02
10.508,6.51E-02,8.23E-02
10.542,6.41E-02,8.28E-02
10.575,6.33E-02,8.33E-02
10.608,6.29E-02,8.38E-02
10.642,6.22E-02,8.42E-02
10.675,6.14E-02,8.50E-02
10.708,6.05E-02,8.55E-02
10.742,6.01E-02,8.59E-02
10.775,5.93E-02,8.63E-02
10.809,5.85E-02,8.68E-02
10.842,5.77E-02,8.76E-02
10.875,5.68E-02,8.80E-02
10.909,5.63E-02,8.85E-02
10.942,5.54E-02,8.89E-02
10.975,5.49E-02,8.93E-02
11.009,5.40E-02,8.98E-02
11.042,5.30E-02,9.02E-02
11.075,5.20E-02,9.08E-02
11.109,5.12E-02,9.13E-02
11.142,5.01E-02,9.18E-02
11.175,4.90E-02,9.23E-02
11.209,4.78E-02,9.30E-02
11.242,4.67E-02,9.35E-02
11.276,4.56E-02,9.42E-02
11.309,4.45E-02,9.49E-02
11.342,4.33E-02,9.56E-02
11.376,4.20E-02,9.62E-02
11.409,4.09E-02,9.68E-02
11.442,3.96E-02,9.73E-02
11.476,3.83E-02,9.79E-02
11.509,3.71E-02,9.84E-02
11.542,3.60E-02,9.88E-02
11.576,3.47E-02,9.92E-02
11.609,3.35E-02,9.96E-02
11.643,3.22E-02,9.99E-02
11.676,3.09E-02,0.1
11.709,2.95E-02,0.101
11.743,2.83E-02,0.101
11.776,2.71E-02,0.101
11.809,2.59E-02,0.101
11.843,2.47E-02,0.101
11.876,2.34E-02,0.101
11.909,2.21E-02,0.102
11.943,2.08E-02,0.102
11.976,1.93E-02,0.102
12.009,1.79E-02,0.102
12.043,1.64E-02,0.102
12.076,1.50E-02,0.103
12.11,1.35E-02,0.103
12.143,1.20E-02,0.103
12.176,1.06E-02,0.103
12.21,9.09E-03,0.104
12.243,7.50E-03,0.104
12.276,5.77E-03,0.104
12.31,3.99E-03,0.104
12.343,2.27E-03,0.104
12.376,7.10E-04,0.104
12.41,-9.29E-04,0.104
12.443,-2.22E-03,0.104
12.477,-3.75E-03,0.104
12.51,-5.24E-03,0.104
12.543,-6.58E-03,0.103
12.577,-8.45E-03,0.103
12.61,-9.78E-03,0.103
12.643,-1.16E-02,0.103
12.677,-1.29E-02,0.102
12.71,-1.46E-02,0.102
12.743,-1.58E-02,0.102
12.777,-1.75E-02,0.102
12.81,-1.88E-02,0.102
12.843,-2.05E-02,0.101
12.877,-2.24E-02,0.101
12.91,-2.42E-02,0.1
12.944,-2.55E-02,9.97E-02
12.977,-2.73E-02,9.93E-02
13.01,-2.90E-02,9.88E-02
13.044,-3.08E-02,9.83E-02
13.077,-3.22E-02,9.78E-02
13.11,-3.38E-02,9.71E-02
13.144,-3.53E-02,9.65E-02
13.177,-3.75E-02,9.55E-02
13.21,-3.90E-02,9.48E-02
13.244,-4.11E-02,9.38E-02
13.277,-4.25E-02,9.31E-02
13.311,-4.43E-02,9.21E-02
13.344,-4.55E-02,9.12E-02
13.377,-4.73E-02,9.02E-02
13.411,-4.85E-02,8.94E-02
13.444,-5.04E-02,8.83E-02
13.477,-5.24E-02,8.72E-02
13.511,-5.35E-02,8.64E-02
13.544,-5.54E-02,8.56E-02
13.577,-5.70E-02,8.43E-02
13.611,-5.81E-02,8.34E-02
13.644,-5.98E-02,8.26E-02
13.677,-6.08E-02,8.17E-02
13.711,-6.24E-02,8.07E-02
13.744,-6.39E-02,7.97E-02
13.778,-6.52E-02,7.86E-02
13.811,-6.66E-02,7.69E-02
13.844,-6.80E-02,7.57E-02
13.878,-6.94E-02,7.46E-02
13.911,-7.07E-02,7.33E-02
13.944,-7.20E-02,7.20E-02
13.978,-7.35E-02,7.06E-02
14.011,-7.47E-02,6.91E-02
14.044,-7.61E-02,6.75E-02
14.078,-7.72E-02,6.58E-02
14.111,-7.87E-02,6.43E-02
14.145,-8.01E-02,6.26E-02
14.178,-8.14E-02,6.07E-02
14.211,-8.22E-02,5.95E-02
14.245,-8.34E-02,5.76E-02
14.278,-8.42E-02,5.63E-02
14.311,-8.50E-02,5.50E-02
14.345,-8.61E-02,5.31E-02
14.378,-8.69E-02,5.17E-02
14.411,-8.82E-02,4.97E-02
14.445,-8.90E-02,4.82E-02
14.478,-8.98E-02,4.67E-02
14.511,-9.04E-02,4.51E-02
14.545,-9.12E-02,4.35E-02
14.578,-9.17E-02,4.20E-02
14.612,-9.24E-02,4.03E-02
14.645,-9.31E-02,3.86E-02
14.678,-9.39E-02,3.68E-02
14.712,-9.46E-02,3.49E-02
14.745,-9.56E-02,3.28E-02
14.778,-9.63E-02,3.11E-02
14.812,-9.69E-02,2.91E-02
14.845,-9.72E-02,2.79E-02
14.878,-9.77E-02,2.59E-02
14.912,-9.83E-02,2.39E-02
14.945,-9.87E-02,2.25E-02
14.978,-9.92E-02,2.04E-02
15.012,-9.95E-02,1.88E-02
15.045,-0.1,1.66E-02
15.079,-0.1,1.49E-02
15.112,-0.101,1.26E-02
15.145,-0.101,1.09E-02
15.179,-0.101,9.23E-03
15.212,-0.101,7.32E-03
15.245,-0.101,5.50E-03
15.279,-0.101,3.52E-03
15.312,-0.101,1.49E-03
15.345,-0.101,-5.20E-04
15.379,-0.101,-1.89E-03
15.412,-0.101,-3.65E-03
15.446,-0.101,-5.46E-03
15.479,-0.101,-6.78E-03
15.512,-0.1,-8.59E-03
15.546,-0.1,-1.01E-02
15.579,-9.99E-02,-1.19E-02
15.612,-9.97E-02,-1.35E-02
15.646,-9.94E-02,-1.51E-02
15.679,-9.91E-02,-1.67E-02
15.712,-9.89E-02,-1.84E-02
15.746,-9.85E-02,-2.00E-02
