,mass A,
t,x,y
2.135,1.19E-02,-1.39E-01
2.168,1.22E-02,-1.39E-01
2.202,1.24E-02,-1.39E-01
2.235,1.28E-02,-1.39E-01
2.268,1.31E-02,-1.39E-01
2.302,1.33E-02,-1.39E-01
2.335,1.34E-02,-1.39E-01
2.368,1.36E-02,-1.39E-01
2.402,1.39E-02,-1.39E-01
2.435,1.43E-02,-1.39E-01
2.468,1.47E-02,-1.39E-01
2.502,1.54E-02,-1.39E-01
2.535,1.59E-02,-1.39E-01
2.568,1.64E-02,-1.39E-01
2.602,1.65E-02,-1.39E-01
2.635,1.65E-02,-1.39E-01
2.669,1.63E-02,-1.39E-01
2.702,1.62E-02,-1.39E-01
2.735,1.60E-02,-1.39E-01
2.769,1.60E-02,-1.39E-01
2.802,1.59E-02,-1.39E-01
2.835,1.58E-02,-1.39E-01
2.869,1.57E-02,-1.39E-01
2.902,1.56E-02,-1.39E-01
2.935,1.54E-02,-1.39E-01
2.969,1.50E-02,-1.39E-01
3.002,1.46E-02,-1.40E-01
3.035,1.41E-02,-1.40E-01
3.069,1.39E-02,-1.40E-01
3.102,1.37E-02,-1.40E-01
3.136,1.38E-02,-1.40E-01
3.169,1.39E-02,-1.40E-01
3.202,1.39E-02,-1.40E-01
3.236,1.39E-02,-1.40E-01
3.269,1.38E-02,-1.40E-01
3.302,1.36E-02,-1.40E-01
3.336,1.36E-02,-1.40E-01
3.369,1.35E-02,-1.39E-01
3.402,1.36E-02,-1.39E-01
3.436,1.36E-02,-1.39E-01
3.469,1.38E-02,-1.39E-01
3.502,1.39E-02,-1.39E-01
3.536,1.38E-02,-1.39E-01
3.569,1.36E-02,-1.39E-01
3.603,1.32E-02,-1.39E-01
3.636,1.28E-02,-1.39E-01
3.669,1.23E-02,-1.39E-01
3.703,1.19E-02,-1.39E-01
3.736,1.15E-02,-1.39E-01
3.769,1.11E-02,-1.39E-01
3.803,1.07E-02,-1.39E-01
3.836,1.03E-02,-1.39E-01
3.869,9.66E-03,-1.39E-01
3.903,9.02E-03,-1.39E-01
3.936,8.38E-03,-1.39E-01
3.969,7.71E-03,-1.39E-01
4.003,7.21E-03,-1.39E-01
4.036,6.68E-03,-1.39E-01
