,,,
,t,x,y
,2.14E+00,1.19E-02,-0.337
,2.17E+00,1.18E-02,-0.337
,2.20E+00,1.17E-02,-0.337
,2.24E+00,1.17E-02,-0.337
,2.27E+00,1.18E-02,-0.337
,2.30E+00,1.20E-02,-0.337
,2.34E+00,1.20E-02,-0.337
,2.37E+00,1.21E-02,-0.337
,2.40E+00,1.20E-02,-0.337
,2.44E+00,1.20E-02,-0.337
,2.47E+00,1.19E-02,-0.337
,2.50E+00,1.20E-02,-0.337
,2.54E+00,1.20E-02,-0.337
,2.57E+00,1.21E-02,-0.337
,2.60E+00,1.22E-02,-0.337
,2.64E+00,1.23E-02,-0.336
,2.67E+00,1.24E-02,-0.336
,2.70E+00,1.25E-02,-0.336
,2.74E+00,1.24E-02,-0.336
,2.77E+00,1.22E-02,-0.336
,2.80E+00,1.19E-02,-0.336
,2.84E+00,1.17E-02,-0.337
,2.87E+00,1.15E-02,-0.337
,2.90E+00,1.14E-02,-0.337
,2.94E+00,1.13E-02,-0.337
,2.97E+00,1.12E-02,-0.337
,3.00E+00,1.11E-02,-0.337
,3.04E+00,1.10E-02,-0.338
,3.07E+00,1.09E-02,-0.338
,3.10E+00,1.09E-02,-0.338
,3.14E+00,1.09E-02,-0.338
,3.17E+00,1.10E-02,-0.338
,3.20E+00,1.12E-02,-0.338
,3.24E+00,1.14E-02,-0.338
,3.27E+00,1.17E-02,-0.337
,3.30E+00,1.20E-02,-0.337
,3.34E+00,1.22E-02,-0.337
,3.37E+00,1.29E-02,-0.337
,3.40E+00,1.33E-02,-0.337
,3.44E+00,1.36E-02,-0.337
,3.47E+00,1.39E-02,-0.337
,3.50E+00,1.42E-02,-0.337
,3.54E+00,1.44E-02,-0.337
,3.57E+00,1.46E-02,-0.337
,3.60E+00,1.48E-02,-0.337
,3.64E+00,1.51E-02,-0.337
,3.67E+00,1.53E-02,-0.337
,3.70E+00,1.56E-02,-0.337
,3.74E+00,1.58E-02,-0.337
,3.77E+00,1.60E-02,-0.337
,3.80E+00,1.61E-02,-0.337
,3.84E+00,1.62E-02,-0.337
,3.87E+00,1.62E-02,-0.337
,3.90E+00,1.62E-02,-0.337
,3.94E+00,1.63E-02,-0.337
,3.97E+00,1.65E-02,-0.337
,4.00E+00,1.68E-02,-0.337
,4.04E+00,1.71E-02,-0.337
,4.07E+00,1.76E-02,-0.337
,4.10E+00,1.79E-02,-0.337
,4.14E+00,1.83E-02,-0.337
,4.17E+00,1.88E-02,-0.337
,4.20E+00,1.94E-02,-0.337
,4.24E+00,2.01E-02,-0.337
,4.27E+00,2.09E-02,-0.337
,4.30E+00,2.17E-02,-0.337
,4.34E+00,2.28E-02,-0.337
,4.37E+00,2.37E-02,-0.337
,4.40E+00,2.46E-02,-0.337
,4.44E+00,2.52E-02,-0.337
,4.47E+00,2.56E-02,-0.337
,4.50E+00,2.60E-02,-0.337
,4.54E+00,2.63E-02,-0.337
,4.57E+00,2.66E-02,-0.337
,4.60E+00,2.67E-02,-0.337
,4.64E+00,2.83E-02,-0.337
,4.67E+00,2.81E-02,-0.336
,4.70E+00,2.81E-02,-0.336
,4.74E+00,2.93E-02,-0.336
,4.77E+00,2.92E-02,-0.336
,4.80E+00,2.90E-02,-0.336
,4.84E+00,3.02E-02,-0.335
,4.87E+00,3.01E-02,-0.335
,4.90E+00,3.02E-02,-0.335
,4.94E+00,3.18E-02,-0.335
,4.97E+00,3.21E-02,-0.334
,5.00E+00,3.25E-02,-0.334
,5.04E+00,3.29E-02,-0.334
,5.07E+00,3.34E-02,-0.334
,5.10E+00,3.39E-02,-0.334
,5.14E+00,3.45E-02,-0.334
,5.17E+00,3.52E-02,-0.334
,5.20E+00,3.69E-02,-0.334
,5.24E+00,3.76E-02,-0.334
,5.27E+00,3.83E-02,-0.334
,5.30E+00,3.89E-02,-0.334
,5.34E+00,4.04E-02,-0.333
,5.37E+00,4.08E-02,-0.333
,5.40E+00,4.12E-02,-0.333
,5.44E+00,4.26E-02,-0.333
,5.47E+00,4.30E-02,-0.333
,5.50E+00,4.32E-02,-0.332
,5.54E+00,4.44E-02,-0.332
,5.57E+00,4.48E-02,-0.332
,5.60E+00,4.50E-02,-0.332
,5.64E+00,4.64E-02,-0.331
,5.67E+00,4.67E-02,-0.331
,5.70E+00,4.70E-02,-0.331
,5.74E+00,4.75E-02,-0.331
,5.77E+00,4.89E-02,-0.331
,5.80E+00,4.93E-02,-0.331
,5.84E+00,4.98E-02,-0.331
,5.87E+00,5.10E-02,-0.33
,5.90E+00,5.14E-02,-0.33
,5.94E+00,5.27E-02,-0.33
,5.97E+00,5.31E-02,-0.329
,6.00E+00,5.41E-02,-0.329
,6.04E+00,5.52E-02,-0.328
,6.07E+00,5.61E-02,-0.328
,6.10E+00,5.70E-02,-0.327
,6.14E+00,5.79E-02,-0.326
,6.17E+00,5.88E-02,-0.326
,6.20E+00,5.97E-02,-0.325
,6.24E+00,6.05E-02,-0.325
,6.27E+00,6.12E-02,-0.324
,6.30E+00,6.22E-02,-0.323
,6.34E+00,6.30E-02,-0.323
,6.37E+00,6.39E-02,-0.322
,6.41E+00,6.41E-02,-0.322
,6.44E+00,6.51E-02,-0.321
,6.47E+00,6.61E-02,-0.321
,6.51E+00,6.65E-02,-0.321
,6.54E+00,6.74E-02,-0.32
,6.57E+00,6.78E-02,-0.32
,6.61E+00,6.87E-02,-0.319
,6.64E+00,6.92E-02,-0.32
,6.67E+00,6.95E-02,-0.319
,6.71E+00,7.05E-02,-0.319
,6.74E+00,7.15E-02,-0.318
,6.77E+00,7.18E-02,-0.318
,6.81E+00,7.26E-02,-0.317
,6.84E+00,7.35E-02,-0.317
,6.87E+00,7.43E-02,-0.317
,6.91E+00,7.51E-02,-0.316
,6.94E+00,7.59E-02,-0.315
,6.97E+00,7.66E-02,-0.314
,7.01E+00,7.79E-02,-0.313
,7.04E+00,7.86E-02,-0.313
,7.07E+00,7.92E-02,-0.312
,7.11E+00,8.05E-02,-0.311
,7.14E+00,8.11E-02,-0.31
,7.17E+00,8.18E-02,-0.309
,7.21E+00,8.29E-02,-0.308
,7.24E+00,8.35E-02,-0.308
